2020-07-01, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-08, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-08, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-08, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-09, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-09, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-09, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-09, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-09, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-09, El Paso, TX, TX, Sanford, FL, FL, 0.00, 
2020-07-09, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-09, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-09, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-10, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-10, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-10, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-10, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-10, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-10, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-10, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-11, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-11, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-11, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-11, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-11, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-11, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-11, El Paso, TX, TX, Denver, CO, CO, 0.00, 
2020-07-12, El Paso, TX, TX, Sanford, FL, FL, 0.00, 
2020-07-12, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-12, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-12, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-12, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-12, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-12, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-12, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-12, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-13, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-13, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-13, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-13, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-13, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-13, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-13, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-13, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-13, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-14, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-14, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-14, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-14, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-14, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-14, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-14, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-15, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-15, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-15, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-15, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-15, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-15, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-15, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-16, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-16, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-16, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-16, El Paso, TX, TX, Sanford, FL, FL, 0.00, 
2020-07-16, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-16, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-16, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-16, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-16, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-17, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-17, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-17, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-17, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-17, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-17, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-17, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-17, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-18, El Paso, TX, TX, Denver, CO, CO, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-18, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-18, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-18, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-18, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-18, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-18, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
